Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Duitama (Boyacá), Mercaplaza; 2.650 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Ibagué, Plaza La 21; 2.603 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Ipiales (Nariño), Ipiales somos todos; 1.292 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Manizales, Centro Galerías; 4.272 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Marinilla (Antioquia); 1.731 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Medellín, Central Mayorista de Antioquia; 2.680 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;"Medellín, Plaza Minorista ""José María Villa"""; 3.570 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Neiva, Surabastos; 6.485 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Palmira (Valle del Cauca); 2.381 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Pamplona (Norte de Santander); 4.563 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Pasto, El Potrerillo; 1.731 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Pereira, Mercasa; 2.649 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Tibasosa (Boyacá), Coomproriente; 2.659 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Tunja, Complejo de Servicios del Sur; 2.615 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Túquerres (Nariño); 1.139 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Villavicencio, CAV; 1.564 ;;
ene-23;VERDURAS Y HORTALIZAS;Calabacín;Bucaramanga, Centroabastos; 4.000 ;;
ene-23;VERDURAS Y HORTALIZAS;Calabacín;Duitama (Boyacá), Mercaplaza; 1.354 ;;
ene-23;VERDURAS Y HORTALIZAS;Calabacín;Medellín, Central Mayorista de Antioquia; 2.798 ;;
ene-23;VERDURAS Y HORTALIZAS;Calabacín;"Medellín, Plaza Minorista ""José María Villa"""; 3.309 ;;
ene-23;VERDURAS Y HORTALIZAS;Calabacín;Tibasosa (Boyacá), Coomproriente; 1.138 ;;
ene-23;VERDURAS Y HORTALIZAS;Calabacín;Tunja, Complejo de Servicios del Sur; 786 ;;
ene-23;VERDURAS Y HORTALIZAS;Calabaza;Bogotá, D.C., Corabastos; 631 ;;
ene-23;VERDURAS Y HORTALIZAS;Calabaza;Cúcuta, Cenabastos; 1.112 ;;
ene-23;VERDURAS Y HORTALIZAS;Calabaza;Medellín, Central Mayorista de Antioquia; 1.022 ;;
ene-23;VERDURAS Y HORTALIZAS;Calabaza;Villavicencio, CAV; 1.092 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Arauca (Arauca); 4.175 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Armenia, Mercar; 4.123 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Barranquilla, Barranquillita; 4.200 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Barranquilla, Granabastos; 4.207 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Bogotá, D.C., Corabastos; 3.889 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Bucaramanga, Centroabastos; 4.001 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Cartagena, Bazurto; 4.384 ;;
